Attrition_Flag,Gender,Education_Level,Marital_Status,Income_Category,Card_Category,,Attrition_Flag,Gender,Education_Level,Marital_Status,Income_Category,Card_Category,,,,
Existing Customer,M,High School,Married,$60K - $80K,Blue,,8500,4769,3128,8500,8500,8500,,,,
Existing Customer,F,Graduate,Single,Less than $40K,Blue,,1627,5358,2013,1627,1627,1627,,,,
Existing Customer,M,Graduate,Married,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,F,High School,Unknown,Less than $40K,Blue,,,Attrition_Flag,,,,,,,,
Existing Customer,M,Uneducated,Married,$60K - $80K,Blue,,Existing Customer,8500,,,,,,,,
Existing Customer,M,Graduate,Married,$40K - $60K,Blue,,Attrited Customer,1627,,,,,,,,
Existing Customer,M,Unknown,Married,$120K +,Gold,,,,,,,,,,,
Existing Customer,M,High School,Unknown,$60K - $80K,Silver,,,,,Gender,,,,,,
Existing Customer,M,Uneducated,Single,$60K - $80K,Blue,,,,M,4769,,,Education_Level,,,Marital_Status
Existing Customer,M,Graduate,Single,$80K - $120K,Blue,,,,F,5358,,Gradute,3128,,Single,3943
Existing Customer,M,Uneducated,Unknown,$120K +,Blue,,,,,,,High School,2013,,Married,4687
Existing Customer,M,Unknown,Married,$40K - $60K,Blue,,,,,,,College,1013,,Divorced,748
Existing Customer,M,College,Single,$80K - $120K,Blue,,,,,,,Doctorate,451,,Unknown,749
Existing Customer,M,Graduate,Unknown,$60K - $80K,Blue,,,,,,,Post-Graduate,516,,,
Existing Customer,F,Graduate,Married,Less than $40K,Blue,,,,,,,Uneducated,1487,,,
Existing Customer,M,Unknown,Unknown,$80K - $120K,Blue,,,,,,,Unknown,1519,,,
Existing Customer,M,Post-Graduate,Single,$80K - $120K,Blue,,,,,,,,,,,
Existing Customer,M,Unknown,Married,$80K - $120K,Blue,,,,,,,,,,,Income_Category
Existing Customer,M,High School,Married,$40K - $60K,Blue,,,,,,,,,,Less than $40K,3561
Existing Customer,F,Graduate,Married,Unknown,Blue,,,,,,,,,,$40K - $60K,1790
